_service,Адрес ДТП,Дата и время,Код СКДФ,Вид ДТП,Ранено,Погибло,Количество участников,Количество ТС,Система источник,Причины ДТП,_page
,"Октябрьский р-н
пр-кт Строителей",30.12.2024 в 23:50:00,337208503,Наезд на пешехода,1,1,1,1,Официальный сайт Госавтоинспекции,Нарушение правил проезда пешеходного перехода,1
,Варненский муниципальный район Варна - Лейпциг - ж/д станция Саламат,30.12.2024 в 23:30:00,337179699,Съезд с дороги,0,0,0,1,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,1
,"Октябрьский
ул Ульянова",30.12.2024 в 23:30:00,337179378,Столкновение,0,0,0,2,Официальный сайт Госавтоинспекции,Нарушение требований сигналов светофора; Несоблюдение очередности проезда,1
,"ИНДУСТРИАЛЬНЫЙ
ул Московская",30.12.2024 в 23:22:00,337194517,Иной вид ДТП,0,0,0,3,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,1
,"Смоленский район М-1 Беларусь Москва - граница с Республикой Беларусь (основное направление)
М-1 ""Беларусь"" Москва - граница с Республикой Беларусь(17+083 - 456+780)",30.12.2024 в 23:20:00,337198615,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Движение вдоль проезжей части попутного направления вне населенного пункта при удовлетворительном состоянии обочины,1
,"Калининский район
ул. 40-летия Победы",30.12.2024 в 23:16:00,337179679,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Нарушение требований сигналов светофора,1
,"Тобольский район Медведчикова-Малая Зоркальцева
Кутарбитка - Худякова",30.12.2024 в 23:15:00,337167795,Столкновение,0,0,0,4,Официальный сайт Госавтоинспекции,Выезд на полосу встречного движения,1
,"ПРОЛЕТАРСКИЙ
ул Вересаева",30.12.2024 в 23:10:00,337200366,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Несоблюдение очередности проезда,1
,"Городецкий район Городец - Зиняки - Кантаурово
Городец - Зиняки - Кантаурово",30.12.2024 в 23:10:00,337186433,Съезд с дороги,0,0,0,1,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,1
,"Николаевский район
ул. Маго-Рейд-Овсяное поле-Гырман",30.12.2024 в 23:00:00,337212455,Съезд с дороги,0,0,0,1,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,1
,"Ленинский район
ул Карла Либкнехта",30.12.2024 в 23:00:00,337195400,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Несоблюдение очередности проезда,1
,"МО МР Сысольский Визинга (Луч) - Горьковская
Визинга (Луч) - Горьковская",30.12.2024 в 23:00:00,337173277,Столкновение,0,0,0,5,Официальный сайт Госавтоинспекции,Выезд на полосу встречного движения,1
,"Дмитровский р-н А-104 Москва - Дмитров – Дубна
А-104 Москва - Дмитров - Дубна (23+750 - 123+382)",30.12.2024 в 22:55:00,337177590,Наезд на пешехода,1,1,1,1,Официальный сайт Госавтоинспекции,Переход через проезжую часть в неустановленном месте (при наличии в зоне видимости перекрёстка),1
,"г. Буйнакск
ул Имама Шамиля",30.12.2024 в 22:50:00,337191010,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Несоблюдение очередности проезда,1
,"Веневский район М-4 Дон, платные участки от Москвы через Воронеж, Ростов-на-Дону, Краснодар до Новороссийска
М-4 ""Дон"" Москва - Воронеж - Ростов-на-Дону - Краснодар - Новороссийск (20+650 - 1542+215)",30.12.2024 в 22:50:00,337176431,Наезд на пешехода,1,1,1,1,Официальный сайт Госавтоинспекции,Переход проезжей части в запрещённом месте (оборудованном пешеходными ограждениями),1
,"Красночетайский район СУРА
""Сура""",30.12.2024 в 22:46:00,337194060,Столкновение,0,0,0,4,Официальный сайт Госавтоинспекции,"Выезд на полосу встречного движения в местах, где это запрещено",1
,"ЗАТО Фокино
Крым - Дунай",30.12.2024 в 22:40:00,337191629,Съезд с дороги,0,0,0,3,Официальный сайт Госавтоинспекции,Выезд на полосу встречного движения,1
,"Парфинский
ул Карла Маркса",30.12.2024 в 22:30:00,337181444,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Нарушение правил проезда пешеходного перехода,1
,"Шацкий район автомобильная дорога М-5 Урал на участке км 349+380 - км 366+832
автомобильная дорога М-5 ""Урал"" Москва - Рязань - Пенза - Самара - Уфа - Челябинск на участке км 349+380 - км 366+832",30.12.2024 в 22:30:00,337175243,Столкновение,0,0,0,2,Официальный сайт Госавтоинспекции,Неправильный выбор дистанции,1
,"Павловский район М-4 Дон, платные участки от Москвы через Воронеж, Ростов-на-Дону, Краснодар до Новороссийска
М-4 ""Дон"" Москва - Воронеж - Ростов-на-Дону - Краснодар - Новороссийск (20+650 - 1542+215)",30.12.2024 в 22:25:00,337169514,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Неправильный выбор дистанции,1
,"г.Петрозаводск
ул Черняховского",30.12.2024 в 22:15:00,337209254,Столкновение,0,0,0,2,Официальный сайт Госавтоинспекции,Нарушение требований дорожных знаков; Несоблюдение очередности проезда,1
,"ЦЕНТРАЛЬНЫЙ
пр-кт Калинина",30.12.2024 в 22:15:00,337165770,Столкновение,0,0,0,4,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,1
,"Московский район
Дорога от ул. Интернациональная д. N 16В до ул. Станкозаводская д. N 30",30.12.2024 в 22:04:00,337175253,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Нарушение правил проезда пешеходного перехода,1
,"Кабанский р-н
ул Центральная",30.12.2024 в 22:00:00,337193291,Съезд с дороги,0,0,0,1,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,1
,"ПЛЮССКИЙ РАЙОН ЗАПОЛЬЕ-ГДОВ
Заполье - Гдов",30.12.2024 в 22:00:00,337185433,Опрокидывание,0,0,0,1,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,1
,"Сланцевский р-н Сижно - Будилово - Осьмино
Сижно - Будилово - Осьмино",30.12.2024 в 21:49:00,337202058,Съезд с дороги,0,0,0,2,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,1
,"Энгельский р-н
ул Ленина",30.12.2024 в 21:45:00,337203553,Наезд на препятствие,0,0,0,3,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,1
,Одинцовский р-н МОСКВА-МИНСК-КОКОШКИНО,30.12.2024 в 21:45:00,337177569,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Несоблюдение очередности проезда,1
,"Центральный
Курск - п. Искра",30.12.2024 в 21:40:00,337196897,Наезд на препятствие,1,1,0,1,Официальный сайт Госавтоинспекции,Нарушение правил расположения ТС на проезжей части,1
,"Устюженский А-114 Вологда - Тихвин - автомобильная дорога Р-21 Кола (основное направление)
А-114 Вологда - Тихвин - автомобильная дорога Р-21 ""Кола"" (4+593 - 330+513)",30.12.2024 в 21:38:00,337192688,Съезд с дороги,0,0,0,2,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,1
,"Волжский р-н Самара - Волгоград - Новокуйбышевск 1
""Самара - Волгоград"" - г Новокуйбышевск",30.12.2024 в 21:35:00,337166299,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Нарушение правил расположения ТС на проезжей части,1
,"Энгельский р-н автоподъезд к г. Энгельсу от автомобильной дороги Сызрань - Саратов - Волгоград - Пристанное - Ерш
автоподъезд к г. Энгельс от автомобильной дороги ""Р-208 ""Тамбов - Пенза"" - Саратов - Пристанное - Ершов - Озинки - граница с Республикой Казахстан""",30.12.2024 в 21:30:00,337203523,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Выезд на полосу встречного движения,1
,"Спировский М-11 Нева Москва - Санкт-Петербург (основное направление)
М-11 ""Нева"" Москва - Санкт-Петербург, включая Софийскую транспортную развязку (146+926 - 684+200)",30.12.2024 в 21:23:00,337165760,Наезд на препятствие,0,0,0,2,Официальный сайт Госавтоинспекции,Нарушение правил расположения ТС на проезжей части,1
,"Тимский ТИМ-КИРОВКА-2-Я КАМЕНКА
Тим - Кировка - 2-я Каменка",30.12.2024 в 21:20:00,337196900,Опрокидывание,0,0,0,4,Официальный сайт Госавтоинспекции,,1
,"Дмитровский р-н ПОДОСИНКИ-БАТЮШКОВО-ИЛЬИНСКОЕ
Подосинки - Батюшково - Ильинское",30.12.2024 в 21:20:00,337177561,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,1
,"Рассказово Тамбов-Пенза*-Рассказово-Уварово-Мучкапский
ул 8 Марта",30.12.2024 в 21:10:00,337213900,Столкновение,0,0,0,2,Официальный сайт Госавтоинспекции,Несоблюдение очередности проезда,1
,"Заднепровский район
ул Ново-Московская",30.12.2024 в 21:10:00,337198597,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Несоблюдение очередности проезда,1
,"Калининский район
пр-кт Тракторостроителей",30.12.2024 в 21:10:00,337194052,Столкновение,0,0,0,4,Официальный сайт Госавтоинспекции,Нарушение требований сигналов светофора,1
,"Центральный округ
ул Поселковая",30.12.2024 в 21:05:00,337169095,Столкновение,0,0,0,2,Официальный сайт Госавтоинспекции,Нарушение требований сигналов светофора,1
,"Центральный район
пр-т Свердловский",30.12.2024 в 21:03:00,337179689,Столкновение,0,0,0,2,Официальный сайт Госавтоинспекции,Нарушение требований сигналов светофора,1
,"Затеречный
ул.Гагарина (от пр.Коста до ул.Кырджалийская)",30.12.2024 в 21:00:00,337220071,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Нарушение правил проезда пешеходного перехода,1
,"Трусовский район
пр-кт Бумажников",30.12.2024 в 21:00:00,337212966,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Нарушение правил проезда пешеходного перехода,1
,"Магарамкентский район Магарамкент-Ахты-Рутул
ул Ленина с. Магарамкент",30.12.2024 в 21:00:00,337191016,Съезд с дороги,1,1,0,1,Официальный сайт Госавтоинспекции,,1
,"Торжокский М-10 Россия Москва - Тверь - Великий Новгород - Санкт-Петербург (основное направление)
М-10 ""Россия"" Москва - Тверь - Великий Новгород - Санкт-Петербург (108+400 - 362+020)",30.12.2024 в 21:00:00,337165764,Столкновение,0,0,0,2,Официальный сайт Госавтоинспекции,Выезд на полосу встречного движения,1
,"Кимрский ДУБНА-КИМРЫ-ГОРИЦЫ
Дубна - Кимры - Горицы",30.12.2024 в 20:58:00,337165778,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Нахождение на проезжей части без цели её перехода,1
,"Сосновский муниципальный район
ул Свердловская",30.12.2024 в 20:50:00,337179644,Столкновение,0,0,0,2,Официальный сайт Госавтоинспекции,Нарушение требований дорожных знаков,1
,"Белогорский район
Переулок Центральный",30.12.2024 в 20:47:00,337174017,Столкновение,0,0,0,2,Официальный сайт Госавтоинспекции,Несоблюдение очередности проезда,1
,"Одинцовский р-н МОСКВА-БОРОДИНО
Можайское шоссе (Одинцовский район)",30.12.2024 в 20:45:00,337177565,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Нарушение правил проезда пешеходного перехода,1
,Октябрьский район г. Уфа,30.12.2024 в 20:42:00,337181760,Наезд на препятствие,0,0,0,1,Официальный сайт Госавтоинспекции,Нарушение правил расположения ТС на проезжей части,1
,Кумторкалинский район Махачкала-Буйнакск-Леваши-В.Гуниб,30.12.2024 в 20:40:00,337191019,Столкновение,0,0,0,6,Официальный сайт Госавтоинспекции,"Выезд на полосу встречного движения в местах, где это запрещено",1
,"Шатурский р-н КРИВАНДИНО-РОШАЛЬ-МИШЕРОНЬ
""Кривандино - Рошаль"" - Мишеронский",30.12.2024 в 20:40:00,337177585,Съезд с дороги,0,0,0,3,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,1
,"Брасовский район М-3 Украина Москва - Калуга - Брянск - граница с Украиной (основное направление)
М-3 « Украина» Москва - Калуга - Брянск - граница с Украиной (65+200 - 519+868)",30.12.2024 в 20:40:00,337165542,Съезд с дороги,0,0,0,1,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,1
,"ИНДУСТРИАЛЬНЫЙ
ул Малахова",30.12.2024 в 20:30:00,337194507,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Нарушение правил проезда пешеходного перехода,1
,"Сызрань
ул Рабочая",30.12.2024 в 20:17:00,337166284,Наезд на препятствие,0,0,0,3,Официальный сайт Госавтоинспекции,Нарушение правил расположения ТС на проезжей части,1
,"Чеди-Хольский район ПОДЪЕЗД К С.АК-ТАЛ
Подъезд к с. Ак-Тал (км 0+000 - км 18+520)",30.12.2024 в 20:13:00,337192492,Столкновение,0,0,0,6,Официальный сайт Госавтоинспекции,Выезд на полосу встречного движения,1
,"Уссурийский ГО
ул Щорса",30.12.2024 в 20:10:00,337191640,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Непредоставление преимущества в движении пешеходу,1
,"Ардатовский район Ардатов - Дивеево
Ардатов - Дивеево",30.12.2024 в 20:10:00,337186480,Съезд с дороги,0,0,0,3,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,1
,"Минераловодский район
ул Кисловодская",30.12.2024 в 20:10:00,337170831,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Переход через проезжую часть в неустановленном месте (при наличии в зоне видимости перекрёстка),1
,"Красноглинский р-н Красноглинское шоссе (от моста через р. Сок до Волжского шоссе)
ул Жигули",30.12.2024 в 20:10:00,337166295,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Неподчинение сигналам регулирования,1
,Холмогорский округ М-8 Холмогоры Москва - Ярославль - Вологда – Архангельск (основное направление),30.12.2024 в 20:00:00,337215126,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,1
,"Каменский р-н КАМЕНКА-ПАЧЕЛМА
ул Ленина",30.12.2024 в 20:00:00,337208478,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,"Выезд на полосу встречного движения в местах, где это запрещено; Несоответствие скорости конкретным условиям движения",1
,"Кировский р-н
проезд Мышкинский",30.12.2024 в 19:58:00,337196044,Наезд на препятствие,0,0,0,2,Официальный сайт Госавтоинспекции,Нарушение правил расположения ТС на проезжей части,1
,"Новосавиновский р-н
ул Мусина, д. 68а,ул Маршала Чуйкова, д. 25 (внутриквартальный проезд)",30.12.2024 в 19:50:00,337216700,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,"Несоблюдение условий, разрешающих движение транспорта задним ходом",1
,"Кировский
ул Проезжая",30.12.2024 в 19:50:00,337209779,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Нарушение правил обгона,1
,"Автозаводский р-н Обводное шоссе г.Тольятти
Обводное шоссе г. Тольятти",30.12.2024 в 19:50:00,337166250,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Неправильный выбор дистанции,1
,"Чкаловский
ул Лучистая",30.12.2024 в 19:41:00,337209775,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Нарушение требований сигналов светофора,1
,"Красногвардейский район Симферополь - Красноперекопск - граница с Херсонской областью
Симферополь - Красноперекопск - граница с Херсонской областью",30.12.2024 в 19:40:00,337214461,Столкновение,1,1,0,2,Официальный сайт Госавтоинспекции,Неправильный выбор дистанции,1
,"Г.СОЧИ
улица Иджеванская",30.12.2024 в 19:35:00,337205829,Столкновение,0,0,0,5,Официальный сайт Госавтоинспекции,Выезд на полосу встречного движения; Несоответствие скорости конкретным условиям движения,1
,"г Новгород
ул Рабочая",30.12.2024 в 19:30:00,337181463,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Нарушение правил проезда пешеходного перехода,1
,Миасский городской округ,30.12.2024 в 19:20:00,337179685,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Переход через проезжую часть в неустановленном месте (при наличии в зоне видимости перекрёстка),1
,"Красносельский район
ш Петергофское (от пр Маршала Жукова до Санкт- Петербургского шоссе)",30.12.2024 в 19:10:00,337189251,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Нахождение на проезжей части без цели её перехода,1
,"Курчатовский район
ул. Каслинская",30.12.2024 в 19:10:00,337179694,Столкновение,0,0,0,2,Официальный сайт Госавтоинспекции,Несоблюдение очередности проезда,1
,"Кировский р-н
ш Ракитовское",30.12.2024 в 19:10:00,337166289,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Несоблюдение очередности проезда,1
,"Кировский р-н
ул Алма-Атинская",30.12.2024 в 19:10:00,337166269,Столкновение,0,0,0,2,Официальный сайт Госавтоинспекции,Несоблюдение очередности проезда,1
,"Ворошиловский район
ул им Елисеева",30.12.2024 в 19:00:00,337198994,Столкновение,0,0,0,5,Официальный сайт Госавтоинспекции,Нарушение требований сигналов светофора,1
,"Шелеховский район Р-258 Байкал Иркутск - Улан-Удэ - Чита (основное направление)
Р-258 ""Байкал"" Иркутск - Улан-Удэ - Чита (26+000 - 100+000)",30.12.2024 в 19:00:00,337172197,Падение груза,0,0,0,5,Официальный сайт Госавтоинспекции,Нарушение правил расположения ТС на проезжей части,1
,"Бежецкий
Тверь - Бежецк - Весьегонск - Устюжна",30.12.2024 в 18:59:00,337165786,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Нарушение правил проезда пешеходного перехода,1
,"Кировский район
ул Свердлова",30.12.2024 в 18:55:00,337212974,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Переход через проезжую часть в неустановленном месте (при наличии в зоне видимости перекрёстка),1
,"Полевской
ул Вершинина",30.12.2024 в 18:55:00,337209785,Столкновение,0,0,0,2,Официальный сайт Госавтоинспекции,Выезд на полосу встречного движения,1
,"Коломенский р-н КОЛОМНА-ОЗЕРЫ-ЗАРЕЧНЫЙ
""Коломна - Озеры"" - Заречный",30.12.2024 в 18:53:00,337177557,Наезд на пешехода,1,1,1,1,Официальный сайт Госавтоинспекции,Иные нарушения,1
,"Тимский
""Курск - Борисоглебск"" - Барковка",30.12.2024 в 18:50:00,337196906,Съезд с дороги,0,0,0,1,Официальный сайт Госавтоинспекции,,2
,"Ленинский район Р-132 Золотое кольцо, западное соединение с М-7
Р-132 ""Золотое кольцо"" Ярославль - Кострома - Иваново - Владимир - Гусь-Хрустальный - Рязань - Михайлов - Тула - Калуга - Вязьма – Ржев -Тверь - Углич – Ярославль, Западное соединение с М-7 «Волга» (0+000 – 20+725)",30.12.2024 в 18:40:00,337174437,Наезд на стоящее ТС,0,0,0,1,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,2
,Город Адыгейск М-4 Дон Москва - Воронеж - Ростов-на-Дону - Краснодар – Новороссийск (основное направление),30.12.2024 в 18:35:00,337196713,Наезд на пешехода,1,1,1,1,Официальный сайт Госавтоинспекции,Переход через проезжую часть вне пешеходного перехода в зоне его видимости либо при наличии в непосредственной близости подземного (надземного) пешеходного перехода,2
,"Красносельский район А-118 Кольцевая автомобильная дорога вокруг Санкт-Петербурга
А-118 Кольцевая автомобильная дорога вокруг г. Санкт-Петербурга (0-381 - 115+527)",30.12.2024 в 18:33:00,337189242,Столкновение,0,0,0,2,Официальный сайт Госавтоинспекции,Неправильный выбор дистанции,2
,"Заволжский р-н
ул Урочская",30.12.2024 в 18:32:00,337196048,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Переход через проезжую часть в неустановленном месте (при наличии в зоне видимости перекрёстка),2
,"Гурьевский муниципальный округ
ул Суворова",30.12.2024 в 18:30:00,337183049,Столкновение,0,0,0,2,Официальный сайт Госавтоинспекции,Нарушение правил расположения ТС на проезжей части,2
,"Ленинский АО г.Тюмени
ул Тополиная",30.12.2024 в 18:28:00,337167802,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Несоблюдение очередности проезда,2
,"Индустриальный
ул Архитектора Свиязева",30.12.2024 в 18:24:00,337204713,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Нарушение правил проезда пешеходного перехода,2
,"Пролетарский
ул Веселовского",30.12.2024 в 18:21:00,337179373,Наезд на пешехода,0,0,2,1,Официальный сайт Госавтоинспекции,Нарушение правил проезда пешеходного перехода,2
,"Г.НОВОРОССИЙСК А-290 Новороссийск - Керчь
А-290 Новороссийск -Керчь (3+409 - 42+000)",30.12.2024 в 18:20:00,337205842,Наезд на пешехода,1,1,1,1,Официальный сайт Госавтоинспекции,Переход через проезжую часть в неустановленном месте (при наличии в зоне видимости перекрёстка),2
,Краснофлотский район,30.12.2024 в 18:11:00,337212449,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Несоблюдение очередности проезда,2
,"Фрунзенский
ул Алеутская",30.12.2024 в 18:10:00,337191644,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Нарушение правил проезда пешеходного перехода,2
,"Центральный АО
ул Северная 24-я",30.12.2024 в 18:10:00,337183994,Столкновение,0,0,0,4,Официальный сайт Госавтоинспекции,Несоблюдение очередности проезда,2
,"Левокумский район А-167 Кочубей - Нефтекумск - Зеленокумск - Минеральные Воды (основное направление)
А-167 Кочубей - Нефтекумск - Зеленокумск - Минеральные Воды (95+830 - 349+330)",30.12.2024 в 18:10:00,337170827,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Непредоставление преимущества в движении пешеходу,2
,"Автозаводский р-н
Автодорога по улице Тополиной",30.12.2024 в 18:10:00,337166261,Наезд на пешехода,1,1,1,3,Официальный сайт Госавтоинспекции,Нарушение требований сигналов светофора,2
,"Волжский
ул Мира",30.12.2024 в 18:05:00,337198990,Наезд на пешехода,1,1,1,1,Официальный сайт Госавтоинспекции,Нарушение правил расположения ТС на проезжей части; Переход через проезжую часть вне пешеходного перехода в зоне его видимости либо при наличии в непосредственной близости подземного (надземного) пешеходного перехода,2
,"Советский район
ул Болдина",30.12.2024 в 18:05:00,337176425,Наезд на пешехода,1,1,1,2,Официальный сайт Госавтоинспекции,Переход через проезжую часть вне пешеходного перехода в зоне его видимости либо при наличии в непосредственной близости подземного (надземного) пешеходного перехода,2
,Симферополь,30.12.2024 в 18:00:00,337214456,Столкновение,0,0,0,2,Официальный сайт Госавтоинспекции,Выезд на полосу встречного движения,2
,"г. Дудинка
Автодорога",30.12.2024 в 18:00:00,337211019,Столкновение,0,0,0,2,Официальный сайт Госавтоинспекции,Выезд на полосу встречного движения,2
,"Г.СОЧИ А-149 Адлер - Красная Поляна, старое направление
улица Костромская",30.12.2024 в 18:00:00,337205837,Столкновение,0,0,0,2,Официальный сайт Госавтоинспекции,Несоблюдение очередности проезда,2
,"Чайковский Кукуштан - Чайковский
Кукуштан - Чайковский",30.12.2024 в 18:00:00,337204730,Столкновение,0,0,0,5,Официальный сайт Госавтоинспекции,Несоблюдение очередности проезда,2
,"Дергачевкий р-н автомобильная дорога Дергачи - Алтата - Орошаемый - Сафаровка
""Дергачи - Алтата - Орошаемый - Сафаровка""",30.12.2024 в 18:00:00,337203544,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Нарушение правил расположения ТС на проезжей части,2
,"Вологодский
Кузнецовка - Большое Село - Антоново",30.12.2024 в 18:00:00,337192692,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,2
,"Коломенский р-н ЧЕРКИЗОВО-НЕПЕЦИНО-ШКИНЬ
Коломна - Черкизово - Непецино - Шкинь",30.12.2024 в 18:00:00,337177612,Столкновение,2,2,0,3,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,2
,"БЕЖАНИЦКИЙ РАЙОН ПУШКИНСКИЕ ГОРЫ-ЛОКНЯ
Пушкинские Горы - Локня",30.12.2024 в 17:57:00,337185439,Наезд на стоящее ТС,0,0,1,1,Официальный сайт Госавтоинспекции,Нахождение на проезжей части без цели её перехода,2
,"Чудовский М-10 Россия Москва - Тверь - Великий Новгород - Санкт-Петербург (основное направление)
М-10 ""Россия"" Москва - Тверь - Великий Новгород - Санкт-Петербург (362+020 - 592+700)",30.12.2024 в 17:53:00,337181452,Столкновение,0,0,0,7,Официальный сайт Госавтоинспекции,Выезд на полосу встречного движения,2
,"МО ГО Сыктывкар
ул Орджоникидзе",30.12.2024 в 17:53:00,337173290,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Несоблюдение очередности проезда,2
,"Октябрьский район
Ул. Восход - Октябрьский мост - пр. Карла Маркса - ул. Титова",30.12.2024 в 17:50:00,337215427,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,"Выезд на полосу встречного движения в местах, где это запрещено",2
,"Кинешемский
ул Гагарина",30.12.2024 в 17:50:00,337213397,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Переход через проезжую часть вне пешеходного перехода в зоне его видимости либо при наличии в непосредственной близости подземного (надземного) пешеходного перехода,2
,"Балаковский р-н Р-228, подъезд к Балаковской АЭС, км 0+000 - км 29+400
Р-228 Сызрань - Саратов - Волгоград (0+000 - 29+486)",30.12.2024 в 17:50:00,337203529,Столкновение,0,0,0,2,Официальный сайт Госавтоинспекции,Неправильный выбор дистанции,2
,"Первомайский район Первомайск - а/д Выездное - Дивеево - Сатис
Первомайск - а/д Выездное - Дивеево - Сатис",30.12.2024 в 17:50:00,337186427,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Выезд на полосу встречного движения; Превышение установленной скорости движения,2
,"Фрунзенский район
ул Фучика (от Белградской ул до Софийской ул)",30.12.2024 в 17:45:00,337189247,Падение пассажира,0,0,0,2,Официальный сайт Госавтоинспекции,Нарушение правил пользования общественным транспортом,2
,"МО ГО Сыктывкар
Подъезд к промышленному узлу ""Дырносский""",30.12.2024 в 17:45:00,337173313,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Выезд на полосу встречного движения,2
,"Иссинский р-н Р-158 Нижний Новгород - Арзамас - Саранск - Исса - Пенза - Саратов
Р-158 Нижний Новгород - Арзамас - Саранск - Исса - Пенза - Саратов (320+900 - 516+100)",30.12.2024 в 17:44:00,337208497,Столкновение,1,1,0,2,Официальный сайт Госавтоинспекции,Выезд на полосу встречного движения,2
,"ПСКОВСКИЙ РАЙОН Псков-Гдов-Сланцы-Кингисепп-Куземкино-Краколье
Псков - Гдов - Сланцы - Кингисепп - Краколье",30.12.2024 в 17:40:00,337185453,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Переход через проезжую часть в неустановленном месте (при наличии в зоне видимости перекрёстка),2
,"Тимский Р-298 Курск - Воронеж - автомобильная дорога Р-22 Каспий
Р-298 Курск - Воронеж - автомобильная дорога Р-22 ""Каспий"" (9+200 - 152+595)",30.12.2024 в 17:31:00,337196892,Столкновение,0,0,0,2,Официальный сайт Госавтоинспекции,Выезд на полосу встречного движения,2
,"г. Обнинск
Автодорога по пр Ленина",30.12.2024 в 17:30:00,337218948,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Нарушение правил проезда пешеходного перехода,2
,"Гагаринский район
5 км Балаклавского шоссе - мыс Фиолент",30.12.2024 в 17:30:00,337218137,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,"Несоблюдение условий, разрешающих движение транспорта задним ходом",2
,"Приволжский район Автодорога Волгоград - Астрахань
Волгоград - Астрахань",30.12.2024 в 17:30:00,337212957,Столкновение,0,0,0,2,Официальный сайт Госавтоинспекции,,2
